Artist,Title,Release Date,Popularity,Category
Kraantje Pappie,Liefde In De Lucht,2018-11-30 00:00:00,46,Gold
Julia Michaels,Heaven,2018-01-26 00:00:00,45,Gold
Daisz,Rugzak,2023-01-06 00:00:00,45,Gold
Above & Beyond,Show Me Love (Mixed),2023-03-20 00:00:00,42,Gold
Ruben Annink,Hoe Is Hij (Beste Zangers Seizoen 2019),2019-09-07 00:00:00,42,Gold
KANE,Rain Down on Me,2003-01-01 00:00:00,42,Gold
TOTO,Good for You,1982-04-08 00:00:00,42,Gold
Douwe Bob,The Shape I’m In,2018-11-09 00:00:00,42,Gold
Dimitri Vegas & Like Mike,Mexico,2023-03-03 00:00:00,41,Gold
Cher Lloyd,M.I.A,2019-10-11 00:00:00,41,Gold
David Guetta,Sexy Bitch (feat. Akon),2009-01-01 00:00:00,41,Gold
Hailee Steinfeld,Rock Bottom,2016-08-19 00:00:00,40,Gold
Yves Berendse,Dicht Bij Mij,2022-03-24 00:00:00,40,Gold
Danny Vera,Love Me Tonight,2002-01-01 00:00:00,39,Gold
Racoon,Brother,2005-03-28 00:00:00,39,Gold
Diggy Dex,Mooi Zoals Je Bent,2020-10-30 00:00:00,39,Gold
Lange Frans & Baas B,Het Land van Vriendschap,2019-09-27 00:00:00,39,Gold
Lost Frequencies,In Too Deep,2016-10-21 00:00:00,38,Gold
Veldhuis & Kemper,Volkomen Kut,2009-02-09 00:00:00,38,Gold
Do,Hij Gelooft In Mij,2011-05-06 00:00:00,38,Gold
Claudia De Breij,Jouw liedje,2016-01-15 00:00:00,38,Gold
Clean Bandit,Solo (feat. Demi Lovato) - Seeb Remix,2018-08-03 00:00:00,37,Gold
Daisz,Onze Weg,2023-01-06 00:00:00,37,Gold
Lewis Thompson,Enchanté (feat. Clementine Douglas),2022-11-18 00:00:00,36,Gold
Davina Michelle,This Is My Life,2023-04-28 00:00:00,36,Gold
Krezip,Let Me Go Home,2022-12-09 00:00:00,36,Gold
Maan,Ze Huilt Maar Ze Lacht,2020-05-01 00:00:00,35,Gold
Rub!k,Orbit 37 - Extended Mix,2022-05-13 00:00:00,35,Gold
Van Dik Hout,Meer Dan Een Ander,2001-05-07 00:00:00,35,Gold
Twarres,Fûgelfrij,2016-01-01 00:00:00,35,Gold
